step,train/loss,train/grad_norm,train/train_rollout_logprob_abs_diff,rollout/truncated_ratio,perf/step_time,perf/rollout_time,train/mopd_topk_kl,train/mopd_topk_kl/math,train/mopd_topk_kl/code
0,0.046100206673145294,3.3638460436051654,0.009544228203594685,0.0,480.24763226509094,438.27416157722473,0.04602893441915512,0.01983223296701908,0.02619670145213604
1,0.061745867133140564,6.128953864239043,0.012183425016701221,0.125,1954.5479419231415,1918.5037684440613,0.06132367625832558,0.03520260006189346,0.026121076196432114
2,0.04998175799846649,6.159744432770793,0.011823413893580437,0.0,362.764577627182,329.1963622570038,0.049804892390966415,0.024482041597366333,0.025322850793600082
3,0.051960088312625885,6.231790183632811,0.012133760377764702,0.125,1977.3576128482819,1930.6154110431671,0.05195457115769386,0.02009677141904831,0.03185780346393585
4,0.06500570476055145,3.7669485464933965,0.012446173466742039,0.0,100.22004199028015,64.33115696907043,0.06476098299026489,0.03551042079925537,0.02925056219100952
5,0.042344268411397934,2.6096989778876774,0.009085511788725853,0.125,1949.796823501587,1903.3981051445007,0.04241858795285225,0.020642774179577827,0.021775811910629272
6,0.039569854736328125,2.2637760378658216,0.008198006078600883,0.25,1975.9937708377838,1931.4157409667969,0.039699405431747437,0.02031463384628296,0.019384771585464478
7,0.04885819926857948,3.8283650225693884,0.010993147268891335,0.125,1953.1122345924377,1913.2209241390228,0.049101218581199646,0.027305306866765022,0.021795909851789474
8,0.051924318075180054,4.9926940947478915,0.011613814160227776,0.0,699.9478158950806,658.8096115589142,0.051969073712825775,0.028494933620095253,0.023474140092730522
9,0.06147398799657822,1.9232170567440052,0.012497068382799625,0.0,219.05043697357178,177.47788619995117,0.061692629009485245,0.03269317001104355,0.028999460861086845
